Date,Transaction ID,Vendor ID,Vendor Name,Vendor Email,Amount,Details,Tax%,Tax Amount,Discount%,Discount Amount
02/19/2019 00:00:00,714620354,3101101,Denise J. McClure,ShabbyMouse@mailinator.com,10066,"""Item4:1:300,Item5:1:300""",18,1811.88,,
02/02/2019 00:00:00,714594172,3108122,Leon G. Heard,RottenKidder@mailinator.com,10068,"""Item7:3:75,Item2:1:350""",18,1812.24,,
01/30/2019 00:00:00,714589661,3108123,Lila C. Barrera,FragrantCat@mailinator.com,10069,"""Item2:4:100,Item3:1:600""",18,1812.42,,
01/23/2019 00:00:00,714578828,3108125,Eleanor J. Mosqueda,RhymeStick@mailinator.com,10071,"""Item1:2:200,Item2:2:300""",18,1812.78,,
01/22/2019 00:00:00,714576534,3108126,Raymond C. Jones,BitSir@mailinator.com,10072,"""Item4:1:300,Item5:1:300""",18,1812.96,,
01/15/2019 00:00:00,714565004,3108128,Sherry C. Davis,RottenThunder@mailinator.com,10074,"""Item7:3:75,Item2:1:350""",18,1813.32,,
11/20/2018 00:00:00,714484895,3108129,Mark G. Ferguson,DinkleBoy@mailinator.com,10075,"""Item2:4:100,Item3:1:600""",18,1813.5,,
04/25/2018 00:00:00,714182877,3101102,Gabriel J. Austin,RottenThunder@mailinator.com,10077,"""Item1:2:200,Item2:2:300""",18,1813.86,,
01/27/2018 00:00:00,714042401,3108124,Norbert R. Bloomfield,ThumbBubbles@mailinator.com,10082,"""Item9:5:50,Item4:3:150""",18,1814.76,,
01/31/2018 00:00:00,714042405,3108128,Sherry C. Davis,RottenThunder@mailinator.com,10086,"""Item7:3:75,Item2:1:350""",18,1815.48,,
02/04/2018 00:00:00,714042409,3101101,Denise J. McClure,ShabbyMouse@mailinator.com,10090,"""Item4:1:300,Item5:1:300""",18,1816.2,,
02/09/2018 00:00:00,714042414,3108125,Eleanor J. Mosqueda,RhymeStick@mailinator.com,10095,"""Item1:2:200,Item2:2:300""",18,1817.1,,
02/12/2018 00:00:00,714042417,3108128,Sherry C. Davis,RottenThunder@mailinator.com,10098,"""Item7:3:75,Item2:1:350""",18,1817.64,,
02/27/2018 00:00:00,714042432,3101102,Gabriel J. Austin,RottenThunder@mailinator.com,10113,"""Item1:2:200,Item2:2:300""",18,1820.34,,
03/05/2018 00:00:00,714042438,3108125,Eleanor J. Mosqueda,RhymeStick@mailinator.com,10119,"""Item1:2:200,Item2:2:300""",18,1821.42,,
03/08/2018 00:00:00,714042441,3108128,Sherry C. Davis,RottenThunder@mailinator.com,10122,"""Item7:3:75,Item2:1:350""",18,1821.96,,
03/09/2018 00:00:00,714042442,3108129,Mark G. Ferguson,DinkleBoy@mailinator.com,10123,"""Item2:4:100,Item3:1:600""",18,1822.14,,
03/11/2018 00:00:00,714042444,3101102,Gabriel J. Austin,RottenThunder@mailinator.com,10125,"""Item1:2:200,Item2:2:300""",18,1822.5,,
03/12/2018 00:00:00,714042445,3101101,Denise J. McClure,ShabbyMouse@mailinator.com,10126,"""Item4:1:300,Item5:1:300""",18,1822.68,,
03/13/2018 00:00:00,714042446,3103100,Crystal J. Smith,PunchyHoneybee@mailinator.com,10127,"""Item2:4:100,Item4:1:600""",18,1822.86,,
03/17/2018 00:00:00,714042450,3108125,Eleanor J. Mosqueda,RhymeStick@mailinator.com,10131,"""Item1:2:200,Item2:2:300""",18,1823.58,,
03/21/2018 00:00:00,714042454,3108129,Mark G. Ferguson,DinkleBoy@mailinator.com,10135,"""Item2:4:100,Item3:1:600""",18,1824.3,,
03/25/2018 00:00:00,714042458,3103100,Crystal J. Smith,PunchyHoneybee@mailinator.com,10139,"""Item2:4:100,Item4:1:600""",18,1825.02,,
04/02/2018 00:00:00,714042466,3108129,Mark G. Ferguson,DinkleBoy@mailinator.com,10147,"""Item2:4:100,Item3:1:600""",18,1826.46,,
04/10/2018 00:00:00,714042474,3108125,Eleanor J. Mosqueda,RhymeStick@mailinator.com,10155,"""Item1:2:200,Item2:2:300""",18,1827.9,,
04/14/2018 00:00:00,714042478,3108129,Mark G. Ferguson,DinkleBoy@mailinator.com,10159,"""Item2:4:100,Item3:1:600""",18,1828.62,,
04/16/2018 00:00:00,714042480,3101102,Gabriel J. Austin,RottenThunder@mailinator.com,10161,"""Item1:2:200,Item2:2:300""",18,1828.98,,
04/17/2018 00:00:00,714042481,3101101,Denise J. McClure,ShabbyMouse@mailinator.com,10162,"""Item4:1:300,Item5:1:300""",18,1829.16,,
04/18/2018 00:00:00,714042482,3103100,Crystal J. Smith,PunchyHoneybee@mailinator.com,10163,"""Item2:4:100,Item4:1:600""",18,1829.34,,
04/20/2018 00:00:00,714042484,3108123,Lila C. Barrera,FragrantCat@mailinator.com,10165,"""Item2:4:100,Item3:1:600""",18,1829.7,,
04/23/2018 00:00:00,714042487,3108126,Raymond C. Jones,BitSir@mailinator.com,10168,"""Item4:1:300,Item5:1:300""",18,1830.24,,
04/25/2018 00:00:00,714042489,3108128,Sherry C. Davis,RottenThunder@mailinator.com,10170,"""Item7:3:75,Item2:1:350""",18,1830.6,,
